"Record Id","Lead Owner.id","Lead Owner",Company,"First Name","Last Name","Lead Name",Title,Email,Phone,Fax,Mobile,Website,"Lead Source","Lead Status",Industry,"No. of Employees","Annual Revenue",Rating,"Email Opt Out","Skype ID","Created By.id","Created By","Modified By.id","Modified By","Created Time","Modified Time",Salutation,"Secondary Email","Last Activity Time",Twitter,Tag,Street,City,State,"Zip Code",Country,Description,"Converted Date Time","Lead Conversion Time","Unsubscribed Mode","Unsubscribed Time","Converted Account.id","Converted Account","Converted Contact.id","Converted Contact","Converted Deal.id","Converted Deal","Change Log Time","Is Converted",Locked,"Last Enriched Time","Enrich Status"
zcrm_846472000000357392,zcrm_846472000000343001,"Praveen Ande","Creative Business Systems",Chau,"Kitzman (Sample)","Chau Kitzman (Sample)","Junior Executive",chau-kitzman@noemail.invalid,555-555-5555,,555-555-5555,http://www.bentonjohnbjr.com,Advertisement,"Attempted to Contact",ERP,,100000,,false,chau-kitzman,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:44",Mr.,,"2025-01-18 21:18:44",chaukitzman_sample,,"6649 N Blue Gum St","New Orleans",LA,70116,"United States",,,,,,,,,,,,"2025-01-18 21:18:44",false,false,,
zcrm_846472000000357393,zcrm_846472000000343001,"Praveen Ande","Dal Tile Corporation",Theola,"Frey (Sample)","Theola Frey (Sample)","Mechanical Systems Engineer",theola-frey@noemail.invalid,555-555-5555,,555-555-5555,http://www.chanayjeffreyaesq.com,"Cold Call","Contact in Future","Management ISV",,200000,,false,theola-frey,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:44",Ms.,,"2025-01-18 21:18:44",theolafrey_sample,,"4 B Blue Ridge Blvd",Brighton,MI,48116,"United States",,,,,,,,,,,,"2025-01-18 21:18:44",false,false,,
zcrm_846472000000357394,zcrm_846472000000343001,"Praveen Ande","Buckley Miller & Wright",Michael,"Ruta (Sample)","Michael Ruta (Sample)","Computer Systems Analyst II",michael-gruta@noemail.invalid,555-555-5555,,555-555-5555,http://www.buckleymillerwright.com,"Online Store","Attempted to Contact","MSP (Management Service Provider)",,850000,,false,michael-gruta,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:44",Mr.,,"2025-01-18 21:18:44",michaelgruta_sample,,"98 Connecticut Ave Nw","Chagrin Falls",OH,44023,"United States",,,,,,,,,,,,"2025-01-18 21:18:44",false,false,,
zcrm_846472000000357395,zcrm_846472000000343001,"Praveen Ande",Grayson,Yvonne,"Tjepkema (Sample)","Yvonne Tjepkema (Sample)","Office Assistant III",yvonne-tjepkema@noemail.invalid,555-555-5555,,555-555-5555,http://www.feltzprintingservice.com,"External Referral",Pre-Qualified,Government/Military,,170000,,false,yvonne-tjepkema,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:44",Ms.,,"2025-01-18 21:18:44",yvonnetjepkema_sample,,"639 Main St",Anchorage,AK,99501,"United States",,,,,,,,,,,,"2025-01-18 21:18:44",false,false,,
zcrm_846472000000357396,zcrm_846472000000343001,"Praveen Ande","Printing Dimensions",Kayleigh,"Lace (Sample)","Kayleigh Lace (Sample)","Cost Accountant",kayleigh-lace@noemail.invalid,555-555-5555,,555-555-5555,http://www.printingdimensions.com,Partner,"Not Contacted","Optical Networking",,270000,,false,kayleigh-lace,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:44",Ms.,,"2025-01-18 21:18:44",kayleighlace_sample,,"34 Center St",Hamilton,OH,45011,"United States",,,,,,,,,,,,"2025-01-18 21:18:44",false,false,,
zcrm_846472000000357397,zcrm_846472000000343001,"Praveen Ande",Chapman,Felix,"Hirpara (Sample)","Felix Hirpara (Sample)","Computer Systems Analyst I",felix-hirpara@noemail.invalid,555-555-5555,,555-555-5555,http://www.chapmanrosseesq.com,"Online Store","Attempted to Contact","Non-management ISV",,230000,,false,felix-hirpara,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:44",Mr.,,"2025-01-18 21:18:44",felixhirpara_sample,,"3 Mcauley Dr",Ashland,OH,44805,"United States",,,,,,,,,,,,"2025-01-18 21:18:44",false,false,,
zcrm_846472000000357398,zcrm_846472000000343001,"Praveen Ande","Morlong Associates",Tresa,"Sweely (Sample)","Tresa Sweely (Sample)","Executive Secretary",tresa-sweely@noemail.invalid,555-555-5555,,555-555-5555,http://www.morlongassociates.com,"Seminar Partner",Contacted,"Storage Equipment",,190000,,false,tresa-sweely,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:45",Ms.,,"2025-01-18 21:18:45",tresasweely_sample,,"7 Eads St",Chicago,IL,60632,"United States",,,,,,,,,,,,"2025-01-18 21:18:45",false,false,,
zcrm_846472000000357399,zcrm_846472000000343001,"Praveen Ande","Kwik Kopy Printing",James,"Merced (Sample)","James Merced (Sample)","Biostatistician I",james-merced@noemail.invalid,555-555-5555,,555-555-5555,http://www.commercialpress.com,"Web Download","Lost Lead","Large Enterprise",,650000,,false,james-merced,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:45",Mr.,,"2025-01-18 21:18:45",jamesmerced_sample,,"7 W Jackson Blvd","San Jose",CA,95111,"United States",,,,,,,,,,,,"2025-01-18 21:18:45",false,false,,
zcrm_846472000000357400,zcrm_846472000000343001,"Praveen Ande","Oh My Goodknits Inc",Carissa,"Kidman (Sample)","Carissa Kidman (Sample)","Director of Sales",carissa-kidman@noemail.invalid,555-555-5555,,555-555-5555,http://www.truhlarandtruhlarattys.com,Advertisement,"Contact in Future","Data/Telecom OEM",,200000,,false,carissa-kidman,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:45",Ms.,,"2025-01-18 21:18:45",carissakidman_sample,,"5 Boston Ave #88","Sioux Falls",SD,57105,"United States",,,,,,,,,,,,"2025-01-18 21:18:45",false,false,,
zcrm_846472000000357401,zcrm_846472000000343001,"Praveen Ande","Rangoni Of Florence",Christopher,"Maclead (Sample)","Christopher Maclead (Sample)","VP Accounting",christopher-maclead@noemail.invalid,555-555-5555,,555-555-5555,http://www.rangoniofflorence.com,"Cold Call","Lost Lead","Service Provider",,850000,,false,christopher-maclead,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-18 21:18:32","2025-01-18 21:18:45",Mr.,,"2025-01-18 21:18:45",christophermaclead_sample,,"37275 St Rt 17m M","Middle Island",NY,11953,"United States",,,,,,,,,,,,"2025-01-18 21:18:45",false,false,,
zcrm_846472000000374002,zcrm_846472000000343001,"Praveen Ande",,,Doe,Doe,,john.doe@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-22 13:39:05","2025-01-22 13:39:05",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000374015,zcrm_846472000000343001,"Praveen Ande",,,Doe,Doe,,john.doe@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-22 13:39:34","2025-01-22 13:39:34",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000374028,zcrm_846472000000343001,"Praveen Ande",,,Praveen,Praveen,,praveenande84@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-22 18:57:45","2025-01-22 18:57:45",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000374047,zcrm_846472000000343001,"Praveen Ande",,praveen10,ande10,"praveen10 ande10",,praveenande10@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 16:14:31","2025-01-25 16:14:31",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000382007,zcrm_846472000000343001,"Praveen Ande",,praveen1,ande1,"praveen1 ande1",,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 15:45:03","2025-01-25 15:45:03",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000382019,zcrm_846472000000343001,"Praveen Ande",,praveen4,ande4,"praveen4 ande4",,praveenande4@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 15:54:41","2025-01-25 15:54:41",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000382031,zcrm_846472000000343001,"Praveen Ande",,praveen10,ande10,"praveen10 ande10",,praveenande10@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 16:13:42","2025-01-25 16:13:42",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000382043,zcrm_846472000000343001,"Praveen Ande",,praveen11,ande11,"praveen11 ande11",,praveenande11@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 16:16:13","2025-01-25 16:16:13",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000382059,zcrm_846472000000343001,"Praveen Ande",,praveen12,ande12,"praveen12 ande12",,praveenande12@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 17:09:00","2025-01-25 17:09:00",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000382071,zcrm_846472000000343001,"Praveen Ande",,praveen12,ande12,"praveen12 ande12",,praveenande12@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 21:22:13","2025-01-25 21:22:13",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000383005,zcrm_846472000000343001,"Praveen Ande",,praveen3,ande3,"praveen3 ande3",,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 15:54:02","2025-01-25 15:54:02",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000383017,zcrm_846472000000343001,"Praveen Ande",,praveen7,ande7,"praveen7 ande7",,praveenande7@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 16:01:50","2025-01-25 16:01:50",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000388002,zcrm_846472000000343001,"Praveen Ande",,praveen2,ande2,"praveen2 ande2",,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 15:47:32","2025-01-25 15:47:32",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000388026,zcrm_846472000000343001,"Praveen Ande",,praveen8,ande8,"praveen8 ande8",,praveenande8@example.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-25 16:03:24","2025-01-25 16:03:24",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000423004,zcrm_846472000000343001,"Praveen Ande",company,First_Name,LastName,"First_Name LastName",Title_Name,abc@zoho.com,3003003330,fax,10101010,www.domain.com,Advertisement,Contacted,ERP,10,100.1,Active,true,skype_id,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 19:07:30","2025-01-27 19:07:30",,abc1@zoho.com,,twitter55,Testtask,street,City,State,zip_code,Country,description,,,Manual,"2025-01-27 19:07:30",,,,,,,,false,false,,
zcrm_846472000000423021,zcrm_846472000000343001,"Praveen Ande",,,ande4,ande4,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 22:54:01","2025-01-27 22:54:01",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000423034,zcrm_846472000000343001,"Praveen Ande",,praveen6,ande6,"praveen6 ande6",,praveenande6@gmail.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 23:05:52","2025-01-27 23:05:52",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000423080,zcrm_846472000000343001,"Praveen Ande",,praveen7,ande7,"praveen7 ande7",,praveenande7@gmail.com,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 23:49:20","2025-01-27 23:49:20",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000424004,zcrm_846472000000343001,"Praveen Ande",,,LastName,LastName,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 20:11:43","2025-01-27 20:11:43",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000424016,zcrm_846472000000343001,"Praveen Ande",,,LastName,LastName,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 20:16:08","2025-01-27 20:16:08",,,,,,,,,,,,,,,,,,,,,,,false,false,,
zcrm_846472000000424028,zcrm_846472000000343001,"Praveen Ande",,,LastName,LastName,,,,,,,,,,,,,false,,zcrm_846472000000343001,"Praveen Ande",zcrm_846472000000343001,"Praveen Ande","2025-01-27 20:21:18","2025-01-27 20:21:18",,,,,,,,,,,,,,,,,,,,,,,false,false,,
